,Regency_Code,Regency,Padi,Year
0,3201,BOGOR,559367.0,2013
1,3202,SUKABUMI,767668.0,2013
2,3203,CIANJUR,882663.0,2013
3,3204,BANDUNG,584336.0,2013
4,3205,GARUT,917503.0,2013
5,3206,TASIKMALAYA,845027.0,2013
6,3207,CIAMIS,662779.0,2013
7,3208,KUNINGAN,369242.0,2013
8,3209,CIREBON,562122.0,2013
9,3210,MAJALENGKA,659403.0,2013
10,3211,SUMEDANG,503912.0,2013
11,3212,INDRAMAYU,1435938.0,2013
12,3213,SUBANG,1022571.0,2013
13,3214,PURWAKARTA,203224.0,2013
14,3215,KARAWANG,1147212.0,2013
15,3216,BEKASI,537388.0,2013
16,3217,BANDUNG BARAT,252712.0,2013
17,3218,PANGANDARAN,176939.2857142857,2013
27,3201,BOGOR,517442.0,2014
28,3202,SUKABUMI,897485.0,2014
29,3203,CIANJUR,830545.0,2014
30,3204,BANDUNG,462977.0,2014
31,3205,GARUT,972890.0,2014
32,3206,TASIKMALAYA,881026.0,2014
33,3207,CIAMIS,448641.0,2014
34,3208,KUNINGAN,356550.0,2014
35,3209,CIREBON,520017.0,2014
36,3210,MAJALENGKA,634260.0,2014
37,3211,SUMEDANG,475190.0,2014
38,3212,INDRAMAYU,1361374.0,2014
39,3213,SUBANG,964845.0,2014
40,3214,PURWAKARTA,198964.0,2014
41,3215,KARAWANG,1122582.0,2014
42,3216,BEKASI,439054.0,2014
43,3217,BANDUNG BARAT,256687.0,2014
44,3218,PANGANDARAN,157035.0,2014
54,3201,BOGOR,492207.0,2015
55,3202,SUKABUMI,842654.0,2015
56,3203,CIANJUR,851649.0,2015
57,3204,BANDUNG,483316.0,2015
58,3205,GARUT,919971.0,2015
59,3206,TASIKMALAYA,843095.0,2015
60,3207,CIAMIS,402620.0,2015
61,3208,KUNINGAN,355015.0,2015
62,3209,CIREBON,443468.0,2015
63,3210,MAJALENGKA,611223.0,2015
64,3211,SUMEDANG,433576.0,2015
65,3212,INDRAMAYU,1294158.0,2015
66,3213,SUBANG,1028009.0,2015
67,3214,PURWAKARTA,211524.0,2015
68,3215,KARAWANG,1188633.0,2015
69,3216,BEKASI,447869.0,2015
70,3217,BANDUNG BARAT,205562.0,2015
71,3218,PANGANDARAN,166428.0,2015
81,3201,BOGOR,582917.0,2016
82,3202,SUKABUMI,956502.0,2016
83,3203,CIANJUR,939731.0,2016
84,3204,BANDUNG,518331.0,2016
85,3205,GARUT,962531.0,2016
86,3206,TASIKMALAYA,844659.0,2016
87,3207,CIAMIS,474255.0,2016
88,3208,KUNINGAN,369220.0,2016
89,3209,CIREBON,537949.0,2016
90,3210,MAJALENGKA,719590.0,2016
91,3211,SUMEDANG,454345.0,2016
92,3212,INDRAMAYU,1540984.0,2016
93,3213,SUBANG,1091620.0,2016
94,3214,PURWAKARTA,228005.0,2016
95,3215,KARAWANG,1149484.0,2016
96,3216,BEKASI,506169.0,2016
97,3217,BANDUNG BARAT,305169.0,2016
98,3218,PANGANDARAN,189990.0,2016
108,3201,BOGOR,562644.0,2017
109,3202,SUKABUMI,901902.0,2017
110,3203,CIANJUR,874393.0,2017
111,3204,BANDUNG,590827.0,2017
112,3205,GARUT,979223.0,2017
113,3206,TASIKMALAYA,905025.0,2017
114,3207,CIAMIS,453002.0,2017
115,3208,KUNINGAN,396162.0,2017
116,3209,CIREBON,478294.0,2017
117,3210,MAJALENGKA,824735.0,2017
118,3211,SUMEDANG,560875.0,2017
119,3212,INDRAMAYU,1224479.0,2017
120,3213,SUBANG,1244234.0,2017
121,3214,PURWAKARTA,219072.0,2017
122,3215,KARAWANG,1075677.0,2017
123,3216,BEKASI,404466.0,2017
124,3217,BANDUNG BARAT,284720.0,2017
125,3218,PANGANDARAN,173007.0,2017
135,3201,BOGOR,485530.0,2018
136,3202,SUKABUMI,811132.0,2018
137,3203,CIANJUR,881569.0,2018
138,3204,BANDUNG,609329.0,2018
139,3205,GARUT,821634.0,2018
140,3206,TASIKMALAYA,763265.0,2018
141,3207,CIAMIS,385059.0,2018
142,3208,KUNINGAN,350289.0,2018
143,3209,CIREBON,475437.0,2018
144,3210,MAJALENGKA,691237.0,2018
145,3211,SUMEDANG,512921.0,2018
146,3212,INDRAMAYU,1370803.0,2018
147,3213,SUBANG,1061339.0,2018
148,3214,PURWAKARTA,232960.0,2018
149,3215,KARAWANG,1060020.0,2018
150,3216,BEKASI,389754.0,2018
151,3217,BANDUNG BARAT,277411.0,2018
152,3218,PANGANDARAN,173778.0,2018
162,3201,BOGOR,557984.0,2019
163,3202,SUKABUMI,1008771.0,2019
164,3203,CIANJUR,1044436.0,2019
165,3204,BANDUNG,785685.0,2019
166,3205,GARUT,882490.0,2019
167,3206,TASIKMALAYA,907838.0,2019
168,3207,CIAMIS,420910.0,2019
169,3208,KUNINGAN,355155.0,2019
170,3209,CIREBON,583480.0,2019
171,3210,MAJALENGKA,793448.0,2019
172,3211,SUMEDANG,622907.0,2019
173,3212,INDRAMAYU,1795707.0,2019
174,3213,SUBANG,1388079.0,2019
175,3214,PURWAKARTA,268877.0,2019
176,3215,KARAWANG,1341661.0,2019
177,3216,BEKASI,413190.0,2019
178,3217,BANDUNG BARAT,344681.0,2019
179,3218,PANGANDARAN,216910.0,2019
189,3201,BOGOR,403848.0,2020
190,3202,SUKABUMI,885869.0,2020
191,3203,CIANJUR,852212.0,2020
192,3204,BANDUNG,550372.0,2020
193,3205,GARUT,659469.0,2020
194,3206,TASIKMALAYA,670231.0,2020
195,3207,CIAMIS,358157.0,2020
196,3208,KUNINGAN,332462.0,2020
197,3209,CIREBON,506027.0,2020
198,3210,MAJALENGKA,612795.0,2020
199,3211,SUMEDANG,425506.0,2020
200,3212,INDRAMAYU,1345271.0,2020
201,3213,SUBANG,1016605.0,2020
202,3214,PURWAKARTA,209408.0,2020
203,3215,KARAWANG,1036257.0,2020
204,3216,BEKASI,203494.0,2020
205,3217,BANDUNG BARAT,263789.0,2020
206,3218,PANGANDARAN,161427.0,2020
